Page,Element,Undescriptive Status,Suggestion
b'https://aquibazmain.github.io',"b'<a href=""projects.html""><span class=""icon-long-arrow-right mr-2""></span>Projects</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""experience.html""><span class=""icon-long-arrow-right mr-2""></span>Experience</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""skills.html""><span class=""icon-long-arrow-right mr-2""></span>Skills</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""awards.html""><span class=""icon-long-arrow-right mr-2""></span>Awards</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""co-curricular.html""><span class=""icon-long-arrow-right mr-2""></span>Co-curricular</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""#""><span class=""icon icon-phone""></span><span class=""text"">+8801819664793</span></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""#""><span class=""icon icon-envelope""></span><span class=""text"">aquibazmain123@gmail.com</span></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<button aria-controls=""ftco-nav"" aria-expanded=""false"" aria-label=""Toggle navigation"" class=""navbar-toggler js-fh5co-nav-toggle fh5co-nav-toggle"" data-target=""#ftco-nav"" data-toggle=""collapse"" type=""button"">\n<span class=""oi oi-menu""></span> Menu\n\t\t\t</button>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a class=""need-help"" href=""https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&amp;service=mail&amp;ss=1&amp;scc=1&amp;rm=false&amp;osid=1&amp;ltmpl=default&amp;hl=bn"">\n    \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&amp;service=mail&amp;rm=false&amp;ltmpl=default&amp;scc=1&amp;ss=1&amp;osid=1&amp;emr=1"">\n       \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""https://accounts.google.com/SignUp?service=mail&amp;continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&amp;ltmpl=default"">\n    \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""https://www.google.com/intl/bn/about"" target=""_blank"">\n  Google \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""https://accounts.google.com/TOS?loc=BD&amp;hl=bn&amp;privacy=true"" target=""_blank"">\n  \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""https://accounts.google.com/TOS?loc=BD&amp;hl=bn"" target=""_blank"">\n  \n  </a>'",False,None
b'https://aquibazmain.github.iomailto: aquibazmain123@gmail.com',"b'<a href=""http://www.google.com/support/accounts?hl=bn"" target=""_blank"">\n  \n  </a>'",False,None
